"","Sector","Principal.Industry","rates"
"1","RURAL","Agriculture",0.578104679055519
"2","RURAL","Mining",0.00517326088841363
"3","RURAL","Manufacturing",0.0724256524377908
"4","RURAL","Others",0.344296407618277
"5","URBAN","Agriculture",0.0743451606910645
"6","URBAN","Mining",0.00899126880921419
"7","URBAN","Manufacturing",0.173249117592421
"8","URBAN","Others",0.743414452907301
