"","sector","age.group","rates"
"1","URBAN","0-14",0.243094217099727
"2","URBAN","15-24",0.173226077381945
"3","URBAN","25-34",0.18423863714821
"4","URBAN","35-49",0.214728360473356
"5","URBAN","50-64",0.135336091592535
"6","URBAN","65+",0.0493766163042273
"7","RURAL","0-14",0.299823275366206
"8","RURAL","15-24",0.168234290516663
"9","RURAL","25-34",0.163759799842047
"10","RURAL","35-49",0.197060377161695
"11","RURAL","50-64",0.128763807533137
"12","RURAL","65+",0.0423584495802511
