"","l1_name","l1_code","l2_name","l2_code"
"155","Jammu and Kashmir",1,"Kathua",7
"156","Jammu and Kashmir",1,"Baramula",8
"157","Jammu and Kashmir",1,"Bandipore",9
"158","Jharkhand",20,"Garhwa",346
"159","Jharkhand",20,"Chatra",347
"160","Jharkhand",20,"Kodarma",348
"161","Jharkhand",20,"Giridih",349
"162","Jharkhand",20,"Deoghar",350
"163","Jharkhand",20,"Godda",351
"164","Jharkhand",20,"Sahibganj",352
"165","Jharkhand",20,"Pakur",353
"166","Jharkhand",20,"Dhanbad",354
"167","Jharkhand",20,"Bokaro",355
"168","Jharkhand",20,"Lohardaga",356
"169","Jharkhand",20,"Purbi Singhbhum",357
"170","Jharkhand",20,"Palamu",358
"171","Jharkhand",20,"Latehar",359
"172","Jharkhand",20,"Hazaribagh",360
"173","Jharkhand",20,"Ramgarh",361
"174","Jharkhand",20,"Dumka",362
"175","Jharkhand",20,"Jamtara",363
"176","Jharkhand",20,"Ranchi",364
"177","Jharkhand",20,"Khunti",365
"178","Jharkhand",20,"Gumla",366
"179","Jharkhand",20,"Simdega",367
"180","Jharkhand",20,"Pashchimi Singhbhum",368
"181","Jharkhand",20,"Saraikela-Kharsawan",369
"182","Odisha",21,"Bargarh",370
"183","Odisha",21,"Jharsuguda",371
"184","Odisha",21,"Sambalpur",372
"185","Odisha",21,"Debagarh",373
"186","Odisha",21,"Sundargarh",374
"187","Odisha",21,"Kendujhar",375
"188","Odisha",21,"Mayurbhanj",376
"189","Odisha",21,"Baleshwar",377
"190","Odisha",21,"Bhadrak",378
"191","Odisha",21,"Kendrapara",379
"192","Odisha",21,"Jagatsinghapur",380
"193","Odisha",21,"Cuttack",381
"194","Odisha",21,"Jajapur",382
"195","Odisha",21,"Dhenkanal",383
"196","Odisha",21,"Anugul",384
"197","Odisha",21,"Nayagarh",385
"198","Odisha",21,"Khordha",386
"199","Odisha",21,"Puri",387
"200","Odisha",21,"Ganjam",388
"201","Odisha",21,"Gajapati",389
"202","Odisha",21,"Kandhamal",390
"203","Odisha",21,"Baudh",391
"204","Odisha",21,"Subarnapur",392
"205","Odisha",21,"Balangir",393
"206","Odisha",21,"Nuapada",394
"207","Odisha",21,"Kalahandi",395
"208","Odisha",21,"Rayagada",396
"209","Odisha",21,"Nabarangapur",397
"210","Odisha",21,"Koraput",398
"211","Odisha",21,"Malkangiri",399
"212","Chhattisgarh",22,"Koriya",400
"213","Chhattisgarh",22,"Surguja",401
"214","Chhattisgarh",22,"Jashpur",402
"215","Chhattisgarh",22,"Raigarh",403
"216","Chhattisgarh",22,"Korba",404
"217","Chhattisgarh",22,"Janjgir - Champa",405
"218","Chhattisgarh",22,"Bilaspur",406
"219","Chhattisgarh",22,"Kabeerdham",407
"220","Chhattisgarh",22,"Rajnandgaon",408
"221","Chhattisgarh",22,"Durg",409
"222","Chhattisgarh",22,"Raipur",410
"223","Chhattisgarh",22,"Mahasamund",411
"224","Chhattisgarh",22,"Dhamtari",412
"225","Chhattisgarh",22,"Uttar Bastar Kanker",413
"226","Chhattisgarh",22,"Bastar",414
"227","Chhattisgarh",22,"Narayanpur",415
"228","Chhattisgarh",22,"Dakshin Bastar Dantewada",416
"229","Chhattisgarh",22,"Bijapur",417
"230","Madhya Pradesh",23,"Sheopur",418
"231","Madhya Pradesh",23,"Morena",419
"232","Madhya Pradesh",23,"Bhind",420
"233","Madhya Pradesh",23,"Gwalior",421
"234","Madhya Pradesh",23,"Datia",422
"235","Madhya Pradesh",23,"Shivpuri",423
"236","Madhya Pradesh",23,"Tikamgarh",424
"237","Madhya Pradesh",23,"Chhatarpur",425
"238","Madhya Pradesh",23,"Panna",426
"239","Madhya Pradesh",23,"Sagar",427
"240","Madhya Pradesh",23,"Damoh",428
"241","Madhya Pradesh",23,"Satna",429
"242","Madhya Pradesh",23,"Rewa",430
"243","Madhya Pradesh",23,"Umaria",431
"244","Madhya Pradesh",23,"Neemuch",432
"245","Madhya Pradesh",23,"Mandsaur",433
"246","Madhya Pradesh",23,"Ratlam",434
"247","Madhya Pradesh",23,"Ujjain",435
"248","Madhya Pradesh",23,"Shajapur",436
"249","Madhya Pradesh",23,"Dewas",437
"250","Madhya Pradesh",23,"Dhar",438
"251","Madhya Pradesh",23,"Indore",439
"252","Madhya Pradesh",23,"Khargone (West Nimar)",440
"253","Madhya Pradesh",23,"Barwani",441
"254","Madhya Pradesh",23,"Rajgarh",442
