"","sector","age.group","rates"
"1","RURAL","0-14",0.295387970013213
"2","RURAL","15-24",0.158681025446445
"3","RURAL","25-34",0.147072233224608
"4","RURAL","35-49",0.217986305774869
"5","RURAL","50-64",0.129354216756376
"6","RURAL","65+",0.0515182487844891
"7","URBAN","0-14",0.237018012298963
"8","URBAN","15-24",0.164645833114681
"9","URBAN","25-34",0.170554939533148
"10","URBAN","35-49",0.236376180559183
"11","URBAN","50-64",0.136551986603184
"12","URBAN","65+",0.0548530478908404
