"","Sector","SocialGroup","rates"
"1","RURAL","scheduled tribe     ",0.12445647637472
"2","RURAL","scheduled caste     ",0.211879970227059
"3","RURAL","other backward class",0.459844229873255
"4","RURAL","others              ",0.203819323524966
"5","URBAN","scheduled tribe     ",0.0537328353847543
"6","URBAN","scheduled caste     ",0.136764894458793
"7","URBAN","other backward class",0.478956840336334
"8","URBAN","others              ",0.330545429820119
